id,label,SLC10A2,OR2T10,NTS,SLC6A3,LINC00887,ENPP7P8,AL163636.1,SLC47A1P1,AC025627.1,TTC21B-AS1,AL109615.1,AP003465.2,AL109946.1,AC133637.1
TCGA-BP-4769-01A,0,0.006836822,0.10630561,0.935063416,0.215316371,0.277148287,0.1086155,0.3511924,0.02007642,0.1026861,2.183919,2.740099051,0.1325787,1.27844,0
TCGA-CJ-4907-01A,0,2.753389535,0.505589887,0.132422921,5.170388639,3.588268914,0.3740436,0.8320264,0.3869783,1.507409,3.324933,3.605310465,0.1962724,1.173086,0.01269984
TCGA-BP-5168-01A,0,3.54785583,0.088003032,0.662097963,6.171489737,3.768056241,1.918742,1.027321,0.6913018,0.6720254,3.40352,3.530751023,0.3969066,1.374021,0.01836177
TCGA-BP-4977-01A,0,1.93659615,0.969800389,0.484892326,5.615420666,3.502461551,1.06802,0.9429504,0.7677834,1.969949,3.190271,4.309978275,0.04821905,0.3888545,0
TCGA-B0-5080-01A,0,0.364461645,0,0.061642241,0.880261187,1.000813352,0.4758372,0.4220779,0.07449213,0.1883764,0.8712664,0.64104204,0.06418803,0.5804356,0
TCGA-B8-5552-01B,0,0.89721118,1.579142302,0.720582781,4.913988522,2.986880671,1.093508,0.6449749,0.1874889,0.5724631,2.849704,3.734182599,0.1624079,0.621729,0
TCGA-BP-4968-01A,0,1.305443033,0.170458593,1.955267266,4.847608287,3.447046801,0.5175835,0.4229504,0.6432198,1.773931,4.334308,4.576700725,0.1443623,1.344919,0.08351125
TCGA-CZ-4856-01A,0,4.209566117,0.65110752,1.057508183,5.166612963,3.010768569,0.6107445,0.5758592,0.1080697,0.2272745,2.372327,0.843065804,0,0.5448629,0.02319483
TCGA-CJ-4634-01A,0,2.936294145,1.472702261,0.970298258,5.973675832,3.894971175,0.500764,0.7277206,1.211083,2.126139,2.488026,0.470596689,0.1297368,0.08239611,0.0644271
TCGA-A3-3378-01A,0,0.648470275,0,0.029180162,3.718594276,3.522614408,0.7159419,0.2900706,0.08679195,0.920083,2.489094,2.442040702,0,1.944989,0
TCGA-CZ-4866-01A,0,1.080448828,0.20060576,0.381200439,1.003485912,1.417944276,2.07051,0.1723709,0.5621473,2.675063,3.237766,1.475731629,0,1.287485,0.00936141
TCGA-BP-4177-01A,0,0.061067394,0.109821495,0.895082541,0.348276603,0.090013837,0.01327401,0.2963872,0,0.0575485,3.664873,0.834716878,0.1105584,0,0
TCGA-B8-A54F-01A,0,1.561205487,0.783680298,0.521748385,3.468357794,4.364259153,0.1686404,1.135661,0.1692118,0.8191023,1.567087,0,0.2794,0.8938151,0.03693119
TCGA-B0-5113-01A,0,1.354244609,0.440477058,1.584620066,6.13428194,4.248979241,1.678129,0.5132689,0.5846367,0.9400205,4.231858,3.721562604,0.05777191,0.6563087,0
TCGA-CJ-4642-01B,0,0.51456908,0,1.9362025,4.73729,5.17160001,2.245893,0,0.7844635,1.821918,3.416556,4.72381751,0,1.633812,0
TCGA-B0-4816-01A,0,3.685605784,1.988753853,0.893601843,4.228308391,3.926885794,0.1586048,0.9655296,0.3574374,0.7292786,4.030453,3.663104697,0.1470247,1.273135,0.02482615
TCGA-BP-4330-01A,0,4.22123073,0.362173125,0.205606504,6.181999372,4.265602388,1.966694,1.072488,1.016236,3.159075,2.259574,4.910999274,0.05645823,1.225926,0.02767866
TCGA-CW-6097-01A,0,0.310886477,2.71146363,0.376469261,1.782543335,0.440683828,0.8263672,0.3475131,0.06133706,0.1725192,4.458702,0.113059236,0,0.6324142,0.08451408
TCGA-DV-A4W0-05A,0,0,0,0.194334284,0.463526677,0.052942273,0.07541683,0.5351059,0,0,2.110181,1.839045786,0,1.239819,0
TCGA-BP-4325-01A,0,4.116235993,2.933420727,0.560628182,6.112054578,3.919781848,2.122918,1.086472,1.02313,2.20884,3.534534,0.2494169,0.127087,0.1029343,0.03188577
TCGA-CJ-6031-01A,0,1.875279441,0.232693544,0.838250793,3.112640385,2.75159361,0.5230376,0.763984,0.2749386,0.3862648,2.320527,2.285339179,0.1111811,1.188799,0.01395647
TCGA-BP-4804-01A,0,3.256833788,0.073178113,0.587572488,5.362462125,3.324442513,0.02176615,0.6211985,0.4661342,1.225625,2.089683,0.215454226,0,0.5302317,0.04514618
TCGA-CJ-4891-01A,0,0.011859257,0.777534161,0.056748027,3.022997612,3.137491804,0.1078764,0.1154199,0.1179937,0.4242044,3.707739,1.794084989,0.1158659,0.8880683,0.02898523
TCGA-BP-5184-01A,0,4.777093093,2.602003706,0.127498958,5.150837618,3.480457915,1.347943,1.095767,0.4694223,1.426016,1.496446,2.879840333,0,0.6504066,0.03802689
TCGA-CJ-4903-01A,0,0.844366755,1.446768108,0.024050579,5.838909275,4.649475352,0.2864032,0.5569434,0.4186741,1.989897,2.790098,0.828293506,0.1442041,0.8976252,0.04825625
TCGA-A3-3311-01A,0,2.29303899,2.181638706,1.722439422,4.550754821,3.363939592,1.722608,0.3683864,0.2763788,0.8169176,5.174162,0.338235522,0,0.1663664,0.09550248
TCGA-A3-3349-01A,0,2.420966963,2.303494346,0.945471607,4.672450464,2.795895858,0.6828528,0.8312504,0.6006142,1.101624,1.704347,1.163479166,0.5031033,0.5604526,0.08853226
TCGA-CW-6090-01A,0,0.215787368,0.0211341,1.262454916,2.3654044,2.949189408,0.1193258,0.4146819,0.2435357,0.1556076,3.57605,0.713290935,0,0.8656178,0.02578126
TCGA-CJ-6027-01A,0,1.619313366,0,0.029119496,0.136848428,3.08952042,0.01416202,0.3744107,0.03527244,0.2835172,4.242501,0,0,1.038654,0.5702267
TCGA-BP-4768-01A,0,2.295685711,0.830554606,0.288285418,0.380705999,5.005986346,0.5584159,0.8661161,1.262092,2.447949,6.018818,4.127050642,0.1068074,1.750893,0.0398014
TCGA-CJ-5679-01A,0,0.486031915,0.031093022,0.073988217,1.893269965,3.449636692,0.08902312,0.09529132,0.1528804,0.5344332,1.38264,0.238593583,0.07703042,2.322883,0.1285151
TCGA-BP-4763-01A,0,4.15149379,0.517496789,0.154817869,1.820127722,2.59430376,0.3243677,0.3586433,0.1143761,0.4456804,5.613626,0.107593438,0,1.107474,0.01644037
TCGA-BP-4975-01A,0,3.506595872,2.090597327,0.287958831,5.518315708,4.269418316,0.3977002,1.020381,0.4060434,1.94559,0.884749,4.633216626,0.1159968,0.3605316,0.01941069
TCGA-CJ-4908-01A,0,2.649590668,0.863835271,0.427382629,5.448849853,4.056376475,0.4428627,0.6914208,0.7994981,1.499128,2.952217,3.775046686,0.1026083,0.9318548,0.02557981
TCGA-CJ-4881-01A,0,0.132217413,1.123062604,0.159141861,4.016089864,2.119316298,0.3457797,0.2554361,0.1547831,0.4569466,3.193108,0.483950274,0,1.591226,0.1609054
TCGA-BP-5198-01A,0,0.520136904,0.022939458,1.072676151,4.899889987,4.287525322,0.2014365,0.4976493,0.03350687,0.1682533,3.248165,0.612800391,0,0.2991602,0.08236216
TCGA-DV-5574-01A,0,0.52531902,0.297666729,1.835867927,2.730445874,2.590264588,0.1812927,0.3056602,0.03421076,0.0300598,2.299699,1.408822389,0,0.7581077,0.01435506
TCGA-B2-4102-01A,0,2.101497186,3.308038701,1.194797235,4.869517205,3.404878898,1.550781,0.5206708,0.4447971,1.501147,3.55049,3.167192689,0,0.9085497,0
TCGA-BP-4992-01A,0,0.056697235,0.358724719,0.034711631,3.015015591,4.192817945,0.5219905,0.03601608,0.3403317,1.813874,2.833632,2.379307664,0.07143407,0.06391151,0
TCGA-CJ-5683-01A,0,3.035205417,2.08806733,1.991150986,5.628278543,3.361539487,0.6518563,0.4726524,0.2332519,0.4428176,4.144223,3.661213573,0.07069376,1.739563,0
TCGA-CJ-4878-01A,0,2.825448913,0.904220015,0.692875359,6.574458892,6.358853491,2.148549,0.3216287,0.3898965,1.465533,4.569932,3.884816373,0.1704026,0.0160506,0.04324015
TCGA-B4-5836-01A,0,1.889193639,1.230130237,0.557365479,5.801431205,3.847694146,2.40892,0.5130168,0.2568609,0.5768394,2.788752,1.422363883,0,1.496466,0
TCGA-B2-5635-01B,0,3.102466788,3.380372378,0.854749312,6.709932295,4.406367651,1.070449,0.1777596,1.358426,3.73009,4.847111,4.358478021,0.7065844,1.438565,0
TCGA-BP-4162-01A,0,1.904696222,0.091856334,1.280439009,6.758129259,3.238455082,1.229262,0.7065214,0.4193498,1.651795,2.195229,1.091255625,0.07746958,0.4992772,0
TCGA-CJ-4888-01A,0,0.43165666,0.221599192,0.654612011,0.549757691,3.3620874,0.6537489,0.1673484,0.07767811,1.261735,1.185428,0.356522201,0,1.386207,0
TCGA-AK-3465-01A,0,0.563007949,0.176632355,0.041934046,0.058139549,0.097528679,0.06703901,0.05772105,0.0340292,0.5258375,0.008596227,0,0,0.01051412,0
TCGA-AK-3461-01A,0,1.891574397,2.368002145,0.69700088,6.105675058,4.491796101,0.4173367,0.7046694,0.7366614,0.9201558,2.207199,2.842141079,0.3797286,0.8528353,0.02093108
TCGA-B0-4694-01A,0,2.015212045,1.958239798,1.444939646,6.097308391,3.018292206,0.09522314,0.493445,0.2429584,0.5366522,2.245323,2.248664407,0.05934711,1.199483,0.1664504
TCGA-BP-4173-01A,0,0.772745908,0.84831831,0.056968311,1.7019402,3.334864444,0.2450416,0.2101239,0.08558199,0.2018142,4.053883,4.070002574,0,0.8965091,0.01462278
TCGA-B0-5083-01A,0,0.066425998,0,0.036252715,0.712510016,0.093149228,0.06935414,0.05606001,0.04389014,0.03858035,0.04395773,0.120307746,0,0,0
TCGA-B0-4810-01A,0,1.867271549,0.408659208,0.014193474,5.652161823,4.230276639,0.4166647,0.4536124,0.2388134,0.6494976,2.941714,3.997146612,0.1681931,1.674488,0
TCGA-B0-5095-01A,0,0.088806606,1.043605063,0.963110934,4.468926645,2.197342555,0.8694025,0.5418695,0.2822778,0.6612872,4.603157,4.575122854,0.1361392,1.463257,0
TCGA-BP-4174-01A,0,1.253878989,0.545617135,1.330567963,4.878162112,3.249289496,0.2647576,0.443768,0.1166739,0.4536766,1.887388,1.276721662,0.06793244,0.8889707,0.1444433
TCGA-CZ-5985-01A,0,3.681858356,3.001311916,0.013592648,4.164367123,2.937338742,1.811396,0.6775416,0.8967182,1.220855,5.907048,3.424631572,0.1614251,1.107729,0.02737232
TCGA-BP-4353-01A,0,2.694392218,0.544463826,1.191948981,5.244119959,4.377330788,0.04564941,0.6015092,0.8532596,1.553041,4.488091,1.692864719,0,1.685452,0.04769443
TCGA-B0-5094-01A,0,1.633786053,0.136446275,1.075968065,4.731369942,4.504085169,0.3563071,0.7518605,0.7984511,1.172917,5.281676,4.217627367,0,1.364389,0.1779836
TCGA-CJ-4644-01A,0,1.134613419,0.108252581,1.750371535,5.79364921,2.941429995,1.676664,0.5256658,0.06051612,0.3792804,4.564899,1.550763619,0,0,0.03393731
TCGA-B0-4821-01A,0,0.031202745,0.025167809,0.213379598,6.830465786,2.862118199,0.1276938,0.1933354,0.4448713,0.3971562,2.848309,1.063179788,0.1224787,0.316263,0.1612595
TCGA-AK-3436-01A,0,1.9172669,0.206175652,0,3.333220732,4.563072719,0,0.9552447,0.3419305,0.8403122,4.051875,0.63675351,0.3674345,0.4090943,0
