id,class,SLC10A2,AC018541.1,AC003984.1,AC018467.1,UGT1A9,AC087762.1,SLC17A4,PLG,AL138826.1,AFM,CYP4A11,CYP4A22,LINC02061,OR2T10,AC138089.1,A1CF,AC073346.1,LINC02275,AC087379.2,GSTA2,ARSF,AL080248.1,AC002401.1,AC124854.1,GSTA7P,AC027458.1,NTS,LGSN,AC021744.1,SLC47A1,AVPR1B,SLC6A3,TAL2,ZYG11A,LINC00887,AL158070.2,GLYATL2,CAPN14,CREB3L3,LY6E-DT,ENPP7P8,AP004782.1,AL033381.1,AC008554.1,GYPA,CIB4,LINC01060,AL163636.1,SLC47A1P1,ENPP7P7,AC007953.1,LINC01886,AC019193.3,RNA5SP107,AC018742.1,LINC01714,AC025627.1,AP002761.2,FAM205C,OSTM1-AS1,FABP7,LINC01077,TTC21B-AS1,LINC00462,AL109615.1,KISS1R,AC073115.2,AC015977.1,AC073115.1,AC009084.1,RPL37P11,LINC02310,AC104316.2,OR10Q1,AC099786.1,EGLN3-AS1,HMGN1P13,AL450322.1,DHFRP2,UQCRB,AC093583.1,LINC01788,WT1,FGB,KRT223P,SORCS3,LBP,FGA,LINC01559,AP000424.1,AC108749.1,TFF2,HSD52,AC013391.3,C5orf46,AC011352.3,AC114803.1,AL109946.1,ADAM18,AC011352.1,AC007326.1,AC079466.1,AL391845.2,SFTA1P,HTR6,SCGB3A2,GSG1L2,PPDPFL,DEFB131E,OPN4,ELDR,LINC00460,APOL5,DDX43P3,AC068492.1,AC010729.2,AP003100.1,RNU2-52P,SLC18A3,AC133637.1,AC006262.2,LINC00160,AC008060.4,LINC02703,AC008060.1,LINC02195,AL596087.2,AC113346.1,LINC01234,LINC01522
TCGA-BP-4769-01A,0,0.006836822,0,0.006043839,0,0.04225213,0,0.217518657,0.024151878,0.0369472,0,0.151535462,0.039714198,0,0.10630561,0.1280524,0.002694313,0,0.8396312,0.341173,0.438786,0.034827134,0,0,1.300118,0,0,0.935063416,0,0,0,0.240792095,0.215316371,0.076871454,0.016457329,0.277148287,0.031604,0.348757066,0.327581671,0.019212552,0.1709395,0.1086155,0.0877983,0,0.9971422,0.021954256,0.692468204,0.03199446,0.3511924,0.02007642,0.04625182,0.2144678,0.01597676,0.04600531,0,0,0.1484207,0.1026861,0,0,0.4533439,1.533617686,0.1202581,2.183919,0.6413603,2.740099051,3.964072483,0.1755256,0.08857427,0,0.07946676,0.3171914,0,0,0.049102126,0,0.2324721,0.1764236,0.08045451,0,0.1325787,0.02151053,0.03677232,1.15471565,0.009531834,2.130803,3.197718979,0.459758846,0.025950903,1.940420773,0.03448701,0.2478992,0,0.0482153,0.05239743,0.801652914,0.2407758,1.594643,1.27844,0.129429269,0.1546914,1.013674,2.796184,0.8909268,0.7761204,0.386950197,0.093281648,0.687575508,0.231881082,0.4520196,0.187604244,0.01750484,0.02230726,0.216960238,0.1124231,0,0.06338513,0.03079596,0.8877635,0.0421833,0,0,0,0,0,0.01660151,0,0,0,0.005764042,0.1706054
TCGA-CJ-4907-01A,0,2.753389535,0.5456418,0.3377515,0.03779324,4.607449,0.0886906,3.980081432,2.131058955,2.050373,1.038259254,4.287068855,1.717656411,0.5322965,0.505589887,0.1718234,2.694931017,0.7988068,0.6816628,0.6833919,5.185765,0.930844956,0.9340644,0.7126687,2.357589,0.5106366,1.06094,0.132422921,0.238423201,2.830688,1.114983,1.218647457,5.170388639,2.315414992,0.150578851,3.588268914,0.1601064,1.274768853,0.298915659,3.289689621,1.341568,0.3740436,0.08859872,1.395048978,0.9672677,0.076111827,0.674394287,0.9322462,0.8320264,0.3869783,0.2892131,0.1652196,0.5244428,0.2585086,1.690561,2.050745,0.2526633,1.507409,0,0.04824345,1.725499,4.195811597,1.635017,3.324933,3.735341,3.605310465,0.068374612,0.4769267,0.6988067,0.7124765,2.354875,0.5047334,0.09932852,0.05892081,0,0,0.6540615,1.125462,0.430115,0.06996082,0.1962724,3.449191,0.05531833,0.375587748,6.474625738,2.292069,2.259665867,0.115246263,3.451740874,0.576869204,0.6820289,0.07481153,0,0.05819923,0.02668279,5.019579674,3.753787,0.6886331,1.173086,0.200655537,2.254038,1.505716,0.004396129,1.006082,0.4676018,0.76440127,1.302421587,0,0.037593941,0.3318912,0,0.03295267,0.0986618,0.154978661,0.04359167,0.08127402,0.09491875,0.1348817,0.5856104,0,0.01269984,0.0454618,0,0,0.1453566,0.02506256,0.2447581,0,0,0.004365782,0.08862376
TCGA-BP-5168-01A,0,3.54785583,0.1407103,1.437288,0,4.263335,0,1.829376408,0.602556605,2.942163,0.07401097,3.090089815,1.19579035,0.3045919,0.088003032,0.1129477,3.194925589,2.031202,1.134355,0.2230439,6.46548,1.387785653,0,0.9763825,5.109673,0.9098775,0.9496179,0.662097963,0.009722414,5.582094,0.03940407,1.934920643,6.171489737,1.967552939,0.012051105,3.768056241,0.2852365,0.798313957,0.210322835,4.378325466,2.554466,1.918742,0.07260227,0.369937385,1.014035,1.260511709,2.337359205,1.332648,1.027321,0.6913018,2.412318,0.04984742,1.741945,0.2788377,1.090572,0.1813258,0.3971393,0.6720254,0.2132294,0.210069605,3.845935,7.223486961,0.6957169,3.40352,2.399752,3.530751023,3.028567538,0.05028876,1.452106,0.05242386,1.204259,2.61448,0.5674002,0.8839773,0.053763675,0.1218787,0,0.513975,0.08800303,0,0.3969066,0.8863063,0,0.040849306,7.958906725,1.275149,0.297296732,0.014411412,4.35144018,0.237918617,0.1104932,0.3001939,0.099171292,0.01071453,0.05736566,0.291269276,0,0.707546,1.374021,0.168034228,0.03537903,1.635177,0,0.3585168,2.883131,0.581250286,0,0,0.11909469,1.006372,0.132498899,0.02868512,0.02444656,0.564787955,0,0.05932294,0,0.06670869,0.1422383,0,0.01836177,0,0,0,0.0436427,0.01819707,0,0,0,0.01261304,0.1266836
TCGA-BP-4977-01A,0,1.93659615,0.06209496,1.968785,0.3935635,3.168578,0.1356403,6.040534678,1.262365659,2.842744,0.139719031,1.973266421,0.462359195,0.8437459,0.969800389,1.483404,3.051580901,1.053767,1.273406,4.423318,7.786175,0.104036109,2.037033,0.5194574,3.686813,3.955757,1.969386,0.484892326,0.53454824,3.586742,6.02222,1.588738588,5.615420666,1.82032971,0.030839144,3.502461551,0.4598466,0.581700987,0.250352921,1.178845221,2.433596,1.06802,0.3359286,1.642530629,2.375549,1.14592126,0.921670931,0.1152245,0.9429504,0.7677834,1.165065,3.90379,1.928879,0.5882629,0.7885963,0.732209,2.774272,1.969949,0.05800783,0.150022057,0.287294,6.478792779,6.563645,3.190271,6.611671,4.309978275,0.405427793,5.128837,0.4412075,4.953163,2.262802,0.4300996,0,0.4329489,0.068877647,0.1052571,0.5388014,2.483692,0.4484004,0.2169004,0.04821905,1.503506,1.304935,0.505067921,3.568724275,5.58807,3.295348252,0.063852754,1.816405037,2.140478033,1.263641,0.1147012,0,0.3917845,0.09714711,2.237175497,1.135662,0.1664458,0.3888545,2.889467482,0.5176685,3.333284,1.576024,0.4333316,0.4746437,0.701507559,0.545894273,8.352154715,3.070527726,0.586075,0.570667627,1.069838,1.436018,0.234280787,2.77958,0.9804691,0.07432271,0.4656424,0.1807163,0.05922904,0,0.02138333,0.1738371,0.1668681,0.3966429,0.1024073,0.1755073,0.12421,0.1221352,0.4752525,0.5585787
TCGA-B0-5080-01A,0,0.364461645,0.2346472,0.005714285,0.01585187,1.612612,0,0.077165394,0.019060627,0,0.032365162,0.619730334,0.068152147,0,0,0.0497681,0.015216401,0,0.4077042,0,4.014416,0.167608676,0,0.05138739,0.03181833,0.2035383,0.07774546,0.061642241,0.029135234,0.8260094,0.3363381,0.093822037,0.880261187,0.551534773,0.020713591,1.000813352,0.01502496,0.538452672,0.150457227,0.679876566,0.1276231,0.4758372,0.08313692,0.007109886,0,0,0,0.2454895,0.4220779,0.07449213,0.8362226,2.203563,1.343122,0.08578364,0,0.5852063,0.1406942,0.1883764,0.1142062,0.038467808,0.02809401,4.170523051,2.655489,0.8712664,4.413065,0.64104204,2.520421518,0.3156991,0,0.399431,0.07523627,0,0.04217934,0,0.198219823,0,0.3510508,1.075018,0,0,0.06418803,0.3765349,0.2474546,0.731318938,0.017969409,2.997675,1.317702997,1.008986497,0.03061662,0.042715546,0.06452643,0.3651382,0.02919977,0.05457608,0,3.293058791,1.754993,1.137805,0.5804356,0.031653768,1.004175,1.415419,3.011081,1.136523,2.655766,0.898326966,0.306603633,0.054474877,2.675866459,0.6057559,0.30442767,0.1273997,0.9905763,0.711288111,0.2056793,0,0.2608086,0,0.2371146,0.171494022,0,1.410903,0.3987259,0.2527734,0.03769775,0.04659478,0.2996974,1.058802,0.4380548,0.7166676,0.3966631
TCGA-B8-5552-01B,0,0.89721118,0.1242515,0.9984214,0.28905,3.507046,0.6978461,4.490279422,1.768915709,2.074262,0.028294469,2.969436643,0.895255149,0.4833728,1.579142302,1.400141,2.342338712,1.02763,0.6352619,1.027137,5.215773,1.14399153,1.596298,0.3967672,2.951541,0.7033702,1.552578,0.720582781,0.123065203,1.811308,2.600096,1.461142596,4.913988522,1.632390001,0.009077968,2.986880671,0.07701816,0.529385239,0.179979396,0.831889237,0.5205318,1.093508,0.1308501,0.229606717,1.526834,0.1446443,0.896455421,0.4445441,0.6449749,0.1874889,0.7300808,2.241884,0.7326608,0.1113309,0.4481579,0.8395147,0.4724966,0.5724631,0.2531139,0.057194638,1.987512,1.865806056,2.397435,2.849704,3.558263,3.734182599,2.868901398,2.024931,0.5561199,1.763354,0.9168208,0.6397784,0.3904464,0.5404639,0.020464738,0.06243002,0.6573638,0.1471155,0.1304867,0,0.1624079,0.4947845,1.11891,0.056058042,7.825062279,0.6053428,0.502203968,2.477829644,5.022786295,1.33860754,0.1372803,0.1331716,0.050603654,0.09398504,0,1.606083518,0.5357433,1.06738,0.621729,0.904161002,0.1532754,1.156508,0.6497555,0.9617858,1.395792,1.792500065,0.150883657,2.251711818,0.040935167,0.3087077,0.318825418,0.0144619,0.01843481,0.657119011,0.04745724,0.04486683,0.06959725,0.05048411,0.4749415,0,0,0.0249574,0.2538675,0.0114393,0.03296399,0,0.138527,0.2751719,0,0,1.001055
TCGA-BP-4968-01A,0,1.305443033,0.2545075,0.3335502,0.1625518,4.063267,0.1129006,3.211190367,0.418304885,0.665558,0.619615121,2.229606913,0.767142064,0.2573725,0.170458593,0.07604804,2.171840984,2.212073,1.024473,0.7370429,7.046901,2.1006691,1.272875,0.3238154,2.069769,1.686967,0.5129041,1.955267266,0.025705117,1.837586,1.542997,0.777229627,4.847608287,1.503401469,0.376596345,3.447046801,0.2358362,1.162687329,0.599373236,2.306846162,0.7390075,0.5175835,0.2791115,0.332318614,1.807705,0.17207519,0.785328156,1.5095,0.4229504,0.6432198,0.4521655,0.1594111,1.341513,0.6259659,0.7167968,1.600503,0.4801846,1.773931,0.2257515,0.222420042,1.172924,7.04763599,1.504679,4.334308,2.853935,4.576700725,1.751796869,0.2203759,0.6142748,0.1353827,1.18879,1.201349,0.2142892,0.5275922,0.171440162,0,0.3275773,0.2505238,0.0590858,0,0.1443623,2.013851,0.01798692,0.405450584,2.698032826,3.810583,3.82305545,0.378810908,1.06455624,0.730073035,0.02522004,0.09535659,0.022566903,0.06293867,0.02570074,3.237729437,1.968165,1.59434,1.344919,1.201606468,1.151245,4.899937,0.3879594,0.5480054,1.819625,0.501316097,0.181285665,3.54067162,0.097483722,0.131973,0.06757021,0.03800792,0.03240722,0.218832083,0.0828046,0.1526376,0.1062054,0.06651193,0.9224227,0.007779726,0.08351125,0.04379902,0.105044,0.04001547,0,0.04788202,0.3912725,0,0.1849504,0.008395591,0.1263176
TCGA-CZ-4856-01A,0,4.209566117,0,1.984242,0.1124861,5.325654,0.2078499,1.892428452,4.58586903,3.026027,0.023825293,3.713955704,1.275096429,1.641209,0.65110752,0.599524,2.381325761,1.746523,1.162469,0,6.740681,1.70759204,0.3661549,0.2464666,3.659583,1.445585,0.7047654,1.057508183,0.429232426,3.783769,1.060823,3.347452954,5.166612963,2.578829921,0.619177978,3.010768569,0.2158137,0.637545189,0.168795009,3.101165845,0.5289429,0.6107445,0.213674,0.599216931,1.669408,0.622059103,0.307394861,0.2422352,0.5758592,0.1080697,0.6039909,2.984985,1.094788,0.2108604,0.7779157,2.941027,0.745581,0.2272745,0.4032338,0.075646879,2.271502,1.188027023,1.474741,2.372327,2.948541,0.843065804,3.974897776,2.777659,0.3375461,2.369437,0.1607577,0.6755222,0.4771094,0.2051754,0.518428768,0.128228,0.9785966,0.7064586,0.3545135,0.2133687,0,2.054128,0.1704245,0.696705753,0.663693,0.0415525,1.980921618,0.180634499,0.384494058,0.031474301,0.1602792,0.1343019,0.220417928,0.04685851,0,0.057193052,0,1.697225,0.5448629,0.027915294,0.02248377,1.080657,0.004029688,0.8907616,0.2134775,0.053344124,0.033049766,0.020230828,0.017349641,0.1258908,0.098957957,0.1002999,0.8040736,0.165123685,0.9257792,0.03781412,0,0,0.4090081,0,0.02319483,0.08226999,0.1241501,0,0.2794624,0,0.3267571,0,0,0.07038825,0.04128991
TCGA-CJ-4634-01A,0,2.936294145,0,1.000986,0.7531683,3.823893,0.1845449,3.743047851,0.230553588,3.74423,0.555043191,6.607982746,3.811681022,1.39171,1.472702261,0.6605794,3.554215247,2.740331,1.729307,0.9772505,3.646258,1.965758552,3.111627,2.367974,1.948385,1.52617,1.755344,0.970298258,0,2.123097,1.814556,3.132043588,5.973675832,3.178237099,0.300753316,3.894971175,0.7958928,1.32133854,0.115119688,4.313157453,0.09534081,0.500764,0.2866496,0.199315801,2.107902,0.077193964,1.979760371,0.899886,0.7277206,1.211083,0.6682991,2.002999,2.336188,0.08861948,0.3647754,0.7454308,0.5096528,2.126139,0.2615549,0.126727808,0.1330219,0.51701812,1.542045,2.488026,2.769584,0.470596689,2.767174885,0.2117537,1.498782,0.5477499,3.092329,1.547513,0.4522279,0.6709573,0.204518624,1.475628,0.07994237,0.1726967,0,0.7430499,0.1297368,0.1602488,0.192842,0.123796931,0.108040171,1.160332,0.915293127,0.012852933,0.05031009,0.006390382,0,0.242785,0.059750742,0.03784416,0.0679282,2.641956408,2.2141,1.488329,0.08239611,0.026235513,1.059588,1.562717,0.4874508,1.004216,2.711479,0.528323076,0.590770878,0,0.012243774,0.6463963,0.137546098,0.01711481,0,0.410876156,0.1620024,0,0,0.03011287,0.3528516,0.031048461,0.0644271,0.6587835,0.20406,0,0,0.0162315,0,0,0,0.005635102,0.2186235
TCGA-A3-3378-01A,0,0.648470275,0.01974165,0.1182909,0.2209225,7.513816,1.710592,2.895188833,0.010736707,0.2149901,0,0.129516693,0.011829355,0,0,0.02350812,0.904426027,0.9974985,0.8887862,0.09417692,3.822891,0.4667704,0.05789128,0.4216334,1.01641,0.8319691,1.713928,0.029180162,0.091497141,0.7359825,0.1234972,1.166096972,3.718594276,1.251163709,0.062116196,3.522614408,0.1348792,0.713331927,0.088578744,1.301709587,0.1522758,0.7159419,0.006660561,0.783630718,0.9992732,0.006511074,2.258812297,1.881289,0.2900706,0.08679195,0.5472502,3.308517,0.2355879,0.2639057,0,0.02575354,0.4001408,0.920083,0.3300467,0.010389512,3.073537,1.054715973,2.299656,2.489094,3.429745,2.442040702,2.075536849,2.332246,1.926665,3.622607,1.32389,1.667282,0.07798843,0.1968458,0.166783667,0.4640051,0.2075596,0,0.2044681,0.08145401,0,0.7806112,0.3836299,0,6.055604568,6.959575,0.251165598,8.763580587,5.179887056,2.892567881,1.959881,0.05863189,0.027351811,0.3387558,0.1061804,3.882199622,1.970859,2.076577,1.944989,0.252229906,1.202967,2.84278,0.4210586,0.2766503,1.026705,0.034245419,0.881527142,0.075921159,0.043850477,0.1884698,0.224254768,0.007771811,0.6208729,0.07756602,0.1474106,0,0,0.4055487,0.5865595,0.046591912,0,0.02674534,0.09595185,0,0.7603706,0,0.6232472,0.3367266,0.07772389,0.01525265,1.47376
